hospital_id,bundle_label,min,max,count,gap_ratio,log_gap
1r6ycd9n,Alpha-1 Proteinase Inhibitor,5.0,11.0,25,2.2,0.7884573603642703
1r6ycd9n,Ambulance – ALS1 Emergency Base Rate,0.01,2228.0,37,222800.0,12.314029787035267
1r6ycd9n,Ambulance – Air (Rotor) Mileage,0.01,2608.0,37,260800.0,12.471509109034635
1r6ycd9n,Ambulance – BLS Emergency Base Rate,0.01,2232.0,74,223200.0,12.315823509489293
1r6ycd9n,Ambulance – Ground Mileage,0.01,1734.0,37,173400.0,12.063356343328579
1r6ycd9n,Antibiotic Susceptibility MIC,0.01,18713.0,1480,1871300.0,14.44214393446588
1r6ycd9n,Any J-code Injectable (catch-all),0.01,258608.0,11847,25860800.0,17.06823886663768
1r6ycd9n,Basic Metabolic Panel (BMP),7.0,1949.0,26,278.42857142857144,5.629161550452247
1r6ycd9n,CBC with Differential,7.0,1246.0,37,178.0,5.181783550292085
1r6ycd9n,CBC without Differential,97.0,147.0,11,1.5154639175257731,0.4157216082753534
1r6ycd9n,COVID-19 PCR (NAAT),21.0,9668.0,456,460.3809523809524,6.132054304099951
1r6ycd9n,CPT – Unclassified (Review Needed),16.0,3061.0,1726,191.3125,5.253908216705631
1r6ycd9n,Candida DNA (PCR),32.0,2606.0,244,81.4375,4.399835854885064
1r6ycd9n,Cardiac – Insertable Loop Recorder (ILR) insertion,0.01,18191.0,26,1819100.0,14.413852431250307
1r6ycd9n,Cardiac – NT-proBNP,35.0,735.0,94,21.0,3.044522437723423
1r6ycd9n,Comprehensive Metabolic Panel (CMP),10.0,2008.0,73,200.8,5.302309387817574
1r6ycd9n,Cytology – Fine Needle Aspiration (FNA) evaluation,37.0,1310.0,61,35.4054054054054,3.5668645035509727
1r6ycd9n,DNA/NAAT – Unspecified Agent,0.01,7455.0,3230,745500.0,13.52181041318693
1r6ycd9n,Dialysis Access – Angioplasty (Therapeutic) Initial Segment,0.01,18121.0,26,1812100.0,14.409996951700249
1r6ycd9n,Drug Testing – Definitive (Mass Spec) 1–7 classes/day,103.0,357.0,39,3.466019417475728,1.2430067935500033
1r6ycd9n,Drug Testing – Presumptive (Immunoassay),10.0,962.0,1764,96.2,4.566429357671661
1r6ycd9n,ENT – Nasal Endoscopy Diagnostic,0.01,553.0,26,55300.0,10.920528187510426
1r6ycd9n,Erythropoiesis-Stimulating Agents – Epoetin Alfa,6.0,259.0,190,43.166666666666664,3.765068592471483
1r6ycd9n,Ferritin,8.0,681.0,103,85.125,4.444120764469677
1r6ycd9n,Flow Cytometry (Tech/Professional),31.0,395.0,440,12.741935483870968,2.5448985604159757
1r6ycd9n,Folate,138.0,206.0,22,1.4927536231884058,0.40062248363237635
1r6ycd9n,Free T3,15.0,230.0,111,15.333333333333334,2.7300291078209855
1r6ycd9n,G-CSF – Filgrastim (and biosimilars),0.01,70475.0,469,7047500.0,15.768183501970405
1r6ycd9n,Gene Sequence Panel,1984.0,36502.0,44,18.398185483870968,2.9122520447451476
1r6ycd9n,HCPCS – Miscellaneous / Supplies,0.01,128226.0,3981,12822600.0,16.366719797006336
1r6ycd9n,Hemoglobin A1c,9.0,656.0,88,72.88888888888889,4.2889362116078695
1r6ycd9n,IHC – Estrogen Receptor (ER),286.0,763.0,55,2.667832167832168,0.9812662204646044
1r6ycd9n,Immunocytochemistry – Multiplex,282.0,667.0,22,2.3652482269503547,0.8608829749775102
1r6ycd9n,Immunofixation Electrophoresis,20.0,257.0,546,12.85,2.553343811341229
1r6ycd9n,Immunoglobulins (IgG/IgA/IgM each),8.0,829.0,543,103.625,4.640778613455459
1r6ycd9n,Immunohistochemistry – Each Additional Antibody,0.01,2624.0,111,262400.0,12.477625336052071
1r6ycd9n,Immunohistochemistry – First Antibody,0.01,2045.0,111,204500.0,12.228323254464993
1r6ycd9n,In Situ Hybridization – Multiplex,286.0,3513.0,44,12.283216783216783,2.5082338414459744
1r6ycd9n,Iron – Serum Iron,5.0,681.0,314,136.2,4.9141243937154115
1r6ycd9n,Lipid Panel,12.0,1437.0,205,119.75,4.785406236291025
1r6ycd9n,Magnesium,6.0,847.0,407,141.16666666666666,4.949941225423999
1r6ycd9n,Molecular – Exome/Genome Sequencing,3311.0,4966.0,11,1.4998489882210813,0.4053644285208657
1r6ycd9n,Molecular – Genetic Testing Panel,10531.0,15796.0,11,1.499952521128098,0.40543345502594286
1r6ycd9n,Multiplex NAAT – Multiple organisms,63.0,844.0,38,13.396825396825397,2.5950177682044244
1r6ycd9n,Orthopedics – Arthroscopic Rotator Cuff Repair,0.01,31375.0,26,3137500.0,14.958936862422176
1r6ycd9n,PSA – Prostate Specific Antigen,16.0,271.0,445,16.9375,2.8295300986399194
1r6ycd9n,Pap/Non-Gyn Cytology Enhanced Techniques,105.0,496.0,55,4.723809523809524,1.5526155765674041
1r6ycd9n,Parathyroid Hormone (PTH),37.0,1310.0,250,35.4054054054054,3.5668645035509727
1r6ycd9n,Rapid Influenza Antigen,13.0,1211.0,38,93.15384615384616,4.534252386091556
1r6ycd9n,Respiratory Virus Panel (SARS-CoV-2/Flu/RSV),0.01,1453.0,59,145300.0,11.886555849558373
1r6ycd9n,Serum Protein Electrophoresis (SPEP),10.0,218.0,222,21.8,3.0819099697950434
1r6ycd9n,Special Stains – Group II,0.01,1580.0,96,158000.0,11.970350312009105
1r6ycd9n,Staph aureus DNA (NAAT),32.0,1783.0,38,55.71875,4.020316715063414
1r6ycd9n,Strep A DNA (NAAT),32.0,809.0,76,25.28125,3.230063014258765
1r6ycd9n,Surgical Pathology Level IV,0.01,3272.0,85,327200.0,12.69832688371073
1r6ycd9n,Testosterone – Total (Assay),23.0,340.0,547,14.782608695652174,2.6934514016810573
1r6ycd9n,Thyroid – Free T4,8.0,245.0,189,30.625,3.421816668864891
1r6ycd9n,Thyroid – TSH,15.0,245.0,333,16.333333333333332,2.793208009442517
1r6ycd9n,Unlisted Molecular Pathology/Gene Analysis,0.01,1547.0,296,154700.0,11.949243036561157
1r6ycd9n,Urine Albumin (Microalbumin),100.0,150.0,11,1.5,0.4054651081081644
1r6ycd9n,Urine Creatinine (random),86.0,167.0,132,1.941860465116279,0.6636465161632473
1r6ycd9n,"Urine Culture, Quantitative",108.0,163.0,11,1.5092592592592593,0.4116189736825427
1r6ycd9n,Vascular – Endovenous RF Ablation (1st vein),0.01,13025.0,26,1302500.0,14.079796052609659
1r6ycd9n,Vascular – Sclerotherapy (non-compounded),0.01,3905.0,26,390500.0,12.875183248261878
1r6ycd9n,Venipuncture – Blood Draw,0.01,49.0,51,4900.0,8.496990484098719
1r6ycd9n,Vitamin B12,146.0,220.0,22,1.5068493150684932,0.4100209246440251
1r6ycd9n,Vitamin D 25-OH,27.0,1070.0,125,39.629629629629626,3.6795770614516226
29a8pin7,Acquisition of Body Components,43892.55,100192.03,34,2.28266596495305,0.8253440427616974
29a8pin7,Alpha-1 Proteinase Inhibitor,4.69,46.4,28,9.893390191897653,2.2918668767740216
29a8pin7,Ambulance – ALS1 Emergency Base Rate,125.93,2969.52,29,23.580719447311996,3.1604294055560747
29a8pin7,Ambulance – Air (Rotor) Mileage,11.48,119.0,145,10.365853658536585,2.338517102220109
29a8pin7,Ambulance – BLS Emergency Base Rate,71.46,2969.52,58,41.55499580184719,3.7270177499785664
29a8pin7,Ambulance – BLS Non-Emergency,71.46,2969.52,29,41.55499580184719,3.7270177499785664
29a8pin7,Ambulance – Ground Mileage,3.06,32.0,29,10.457516339869281,2.347320986835437
29a8pin7,Antibiotic Susceptibility MIC,3.07,1198.58,593,390.4169381107492,5.967215240151941
29a8pin7,Any J-code Injectable (catch-all),0.02,44156.04,5539,2207802.0,14.607508008445134
29a8pin7,Basic Metabolic Panel (BMP),8.21,180.43,29,21.9768574908648,3.08998996745587
29a8pin7,Body scan,176.05,555.0,68,3.1525134904856573,1.148200068145373
29a8pin7,CBC with Differential,6.28,103.82,58,16.53184713375796,2.8052886499189755
29a8pin7,COVID-19 PCR (NAAT),21.49,275.0,87,12.796649604467195,2.5491833870121523
29a8pin7,CPT – Unclassified (Review Needed),4.3,624.0,406,145.11627906976744,4.977535345669911
29a8pin7,Cardiac – NT-proBNP,16.55,91.0,58,5.498489425981873,1.7044734046937782
29a8pin7,Comprehensive Metabolic Panel (CMP),10.24,298.57,29,29.1572265625,3.3727027915917396
29a8pin7,Cytology – Fine Needle Aspiration (FNA) evaluation,30.3,271.0,58,8.943894389438944,2.1909711083643773
29a8pin7,DNA/NAAT – Unspecified Agent,9.24,411.7,651,44.556277056277054,3.796753043122266
29a8pin7,Durable Medical Equipment (Other than Renal),36.1,617.0,116,17.09141274238227,2.8385761585665525
29a8pin7,EKG/ECG Electrocardiogram,114.98,688.1,29,5.984519046790746,1.7891759760132893
29a8pin7,Erythropoiesis-Stimulating Agents – Epoetin Alfa,13.23,1109.23,290,83.84202569916856,4.4289343817690225
29a8pin7,Extra-Corporeal Shock Wave Therapy (formerly Lithotripsy),6230.44,19642.0,17,3.152586334191486,1.1482231744269094
29a8pin7,Ferritin,13.22,174.7,29,13.214826021180029,2.5813393827164703
29a8pin7,Flow Cytometry (Tech/Professional),7.95,592.0,1131,74.46540880503144,4.310334706217765
29a8pin7,Folate,14.26,167.54,29,11.748948106591865,2.4637637137395134
29a8pin7,Free T3,16.43,76.61,29,4.662811929397444,1.539618684479553
29a8pin7,G-CSF – Filgrastim (and biosimilars),72.17,1103.71,200,15.293196619093806,2.7274080640866996
29a8pin7,HCPCS – Miscellaneous / Supplies,0.53,2715.86,273,5124.264150943396,8.541742213394242
29a8pin7,Hemoglobin A1c,9.42,110.98,58,11.781316348195329,2.4665149163094835
29a8pin7,IHC – Estrogen Receptor (ER),17.19,378.84,174,22.038394415357764,3.0927861329631425
29a8pin7,Immunocytochemistry – Multiplex,82.74,385.0,29,4.653130287648055,1.5375401732545189
29a8pin7,Immunofixation Electrophoresis,6.88,274.23,116,39.85901162790698,3.685348518388585
29a8pin7,Immunoglobulins (IgG/IgA/IgM each),4.94,146.06,145,29.566801619433196,3.3866521649921326
29a8pin7,Immunohistochemistry – Each Additional Antibody,47.16,367.0,58,7.782018659881256,2.0518157723854
29a8pin7,In Situ Hybridization – Multiplex,67.91,733.0,58,10.793697540862908,2.3789624027609517
29a8pin7,Influenza A/B PCR,59.1,275.0,29,4.653130287648054,1.5375401732545186
29a8pin7,Iron – Serum Iron,6.28,144.0,116,22.929936305732483,3.132443319095893
29a8pin7,Lipid Panel,12.99,175.42,29,13.504234026173979,2.603003267840727
29a8pin7,Magnesium,4.94,138.19,116,27.97368421052631,3.331264218615562
29a8pin7,Microbiology NA Probe (each),15.04,113.54,232,7.5492021276595755,2.0214418792208866
29a8pin7,PSA – Prostate Specific Antigen,5.8,148.21,87,25.55344827586207,3.2407722694164502
29a8pin7,Pap/Non-Gyn Cytology Enhanced Techniques,19.99,239.86,58,11.998999499749877,2.4848232712912663
29a8pin7,Parathyroid Hormone (PTH),40.04,302.87,58,7.564185814185814,2.023424716092818
29a8pin7,Serum Protein Electrophoresis (SPEP),5.8,159.67,58,27.529310344827586,3.3152512677992365
29a8pin7,Special Stains – Group II,22.08,236.0,58,10.68840579710145,2.3691595836167156
29a8pin7,Surgical Pathology Level IV,43.84,533.42,165,12.167427007299269,2.498762463718308
29a8pin7,Testosterone – Total (Assay),6.23,232.7,116,37.351524879614765,3.620373737508884
29a8pin7,Thyroid – Free T4,8.75,120.29,29,13.747428571428571,2.6208517936364584
29a8pin7,Thyroid – TSH,16.3,129.6,29,7.950920245398772,2.0732876761054575
29a8pin7,Unlisted Molecular Pathology/Gene Analysis,0.01,1721.26,143,172126.0,12.05598204574538
29a8pin7,Urine Creatinine (random),3.87,51.55,145,13.320413436692505,2.5892977034212783
29a8pin7,"Urine Culture, Quantitative",7.83,107.4,29,13.71647509578544,2.6185976720720525
29a8pin7,Venipuncture – Blood Draw,3.96,23.63,24,5.967171717171717,1.7862730659324273
29a8pin7,Vitamin B12,14.63,173.99,29,11.892686261107313,2.475923611266592
29a8pin7,Vitamin D 25-OH,28.71,138.9,29,4.8380355276907006,1.5765087556273256
59ew6vnb,Antibiotic Susceptibility MIC,3.07,826.09,500,269.08469055374593,5.595026164824062
59ew6vnb,Any J-code Injectable (catch-all),0.02,48930.74,3384,2446537.0,14.71018411324298
59ew6vnb,Basic Metabolic Panel (BMP),8.21,158.48,25,19.30328867235079,2.9602754789259587
59ew6vnb,Body scan,54.29,421.4,25,7.762018787990422,2.0492424534527287
59ew6vnb,CBC with Differential,6.28,91.19,50,14.520700636942674,2.675575261465467
59ew6vnb,COVID-19 PCR (NAAT),28.89,275.0,75,9.518864659051575,2.2532755831884272
59ew6vnb,CPT – Unclassified (Review Needed),5.78,624.0,325,107.95847750865052,4.681746685685142
59ew6vnb,Cardiac – NT-proBNP,26.29,100.0,50,3.8037276531000384,1.3359815472463017
59ew6vnb,Comprehensive Metabolic Panel (CMP),10.24,262.25,25,25.6103515625,3.242996627665045
59ew6vnb,Cytology – Fine Needle Aspiration (FNA) evaluation,40.04,209.0,50,5.21978021978022,1.6524552975177913
59ew6vnb,DNA/NAAT – Unspecified Agent,12.42,331.8,561,26.714975845410628,3.2852243012510116
59ew6vnb,Durable Medical Equipment (Other than Renal),35.59,431.9,100,12.135431300927225,2.496129380444554
59ew6vnb,EKG transmission,37.13,162.0,16,4.363048747643415,1.4731710670433953
59ew6vnb,EKG/ECG Electrocardiogram,113.37,592.9,25,5.229778601040839,1.6543689446838146
59ew6vnb,Erythropoiesis-Stimulating Agents – Epoetin Alfa,13.23,1246.56,150,94.22222222222221,4.545656058455684
59ew6vnb,Extra-Corporeal Shock Wave Therapy (formerly Lithotripsy),3093.96,17284.0,25,5.586368278840062,1.7203293942506053
59ew6vnb,Ferritin,13.22,107.54,25,8.13464447806354,2.0961320369579917
59ew6vnb,Flow Cytometry (Tech/Professional),6.38,592.0,500,92.78996865203762,4.5303385375273075
59ew6vnb,Folate,14.26,72.95,25,5.115708274894811,1.6323158599826448
59ew6vnb,Free T3,16.43,60.37,25,3.6743761412051126,1.301383360759158
59ew6vnb,G-CSF – Filgrastim (and biosimilars),72.17,1098.61,150,15.22253013717611,2.7227765762769938
59ew6vnb,HCPCS – Miscellaneous / Supplies,10.81,2999.25,149,277.4514338575393,5.62564590474392
59ew6vnb,Hemoglobin A1c,9.42,30.19,50,3.204883227176221,1.1646756551304758
59ew6vnb,IHC – Estrogen Receptor (ER),30.86,215.53,100,6.984121840570317,1.9436392640567075
59ew6vnb,Immunocytochemistry – Multiplex,86.91,779.0,50,8.963295363019215,2.1931379454213795
59ew6vnb,Immunofixation Electrophoresis,9.24,179.24,100,19.3982683982684,2.9651838042643495
59ew6vnb,Immunoglobulins (IgG/IgA/IgM each),4.04,56.6,125,14.00990099009901,2.6397642932360785
59ew6vnb,Immunohistochemistry – Each Additional Antibody,51.31,367.0,75,7.152601832001559,1.9674761831006968
59ew6vnb,Immunohistochemistry – First Antibody,65.11,238.7,25,3.6661035171248653,1.2991293860960136
59ew6vnb,In Situ Hybridization – Multiplex,84.06,733.0,75,8.719961931953366,2.1656148723096806
59ew6vnb,Influenza A/B PCR,79.45,269.2,25,3.3882945248584013,1.2203267047878477
59ew6vnb,Iron – Serum Iron,6.28,110.06,100,17.52547770700637,2.8636556911515054
59ew6vnb,Lipid Panel,12.99,154.08,50,11.861431870669747,2.4732921173673073
59ew6vnb,Magnesium,6.5,121.38,125,18.673846153846153,2.9271239435061176
59ew6vnb,Microbiology NA Probe (each),30.91,98.6,100,3.1899061792300225,1.1599915054645646
59ew6vnb,PSA – Prostate Specific Antigen,7.8,128.92,75,16.528205128205126,2.805068323251691
59ew6vnb,Pap/Non-Gyn Cytology Enhanced Techniques,28.99,103.63,50,3.5746809244567093,1.273875920262562
59ew6vnb,Parathyroid Hormone (PTH),30.62,116.0,50,3.7883736120182885,1.3319368008768269
59ew6vnb,Rapid Influenza Antigen,16.05,46.51,48,2.8978193146417444,1.0639584936599806
59ew6vnb,Serum Protein Electrophoresis (SPEP),7.8,50.64,50,6.492307692307692,1.8706180441403748
59ew6vnb,Special Stains – Group II,24.21,224.63,50,9.27839735646427,2.2276888332271114
59ew6vnb,Strep A DNA (NAAT),33.8,98.6,25,2.9171597633136095,1.0706104591196166
59ew6vnb,Surgical Pathology Level IV,48.09,146.32,25,3.0426284050738195,1.1127217487930388
59ew6vnb,Testosterone – Total (Assay),8.38,105.03,100,12.533412887828161,2.528398109140692
59ew6vnb,Thyroid – Free T4,8.75,79.24,25,9.056,2.203427521460827
59ew6vnb,Thyroid – TSH,16.3,113.83,25,6.983435582822086,1.9435409995244086
59ew6vnb,Unlisted Molecular Pathology/Gene Analysis,161.99,1682.8,55,10.388295573800852,2.340679746784319
