bundle_label,n_hospitals,kruskal_stat,p_value,q_value,reject_fdr_5pct
Acquisition of Body Components,2,1.1943901839639885,0.27444578952779175,0.2788723345201755,False
Alpha-1 Proteinase Inhibitor,2,1.0498832192102259,0.3055339840553393,0.3055339840553393,False
Ambulance – ALS1 Emergency Base Rate,3,26.24539960602605,1.9993272619521063e-06,2.2901385000542307e-06,True
Ambulance – Air (Rotor) Mileage,3,78.11990274740323,1.0876236810304653e-17,1.9033414418033145e-17,True
Ambulance – BLS Emergency Base Rate,3,22.91320856220651,1.0579374216066158e-05,1.1901795993074429e-05,True
Ambulance – BLS Non-Emergency,2,1.2821278863988514,0.25750376544158576,0.26594651184950663,False
Ambulance – Ground Mileage,3,106.34139560030033,8.095792090603777e-24,1.9616726988770692e-23,True
Antibiotic Susceptibility MIC,5,1043.7311050655906,1.1886671758772643e-224,2.4962010693422553e-223,True
Any J-code Injectable (catch-all),4,4482.19428675098,0.0,0.0,True
Basic Metabolic Panel (BMP),4,60.020903013225414,5.818095308309391e-13,7.798723498372162e-13,True
Body scan,3,102.71735533608278,4.956894673708437e-23,1.1566087571986355e-22,True
CBC with Differential,4,115.1428785591959,8.576775578682356e-25,2.2514035894041185e-24,True
COVID-19 PCR (NAAT),4,190.77005758880827,4.161619825595628e-41,2.184850408437705e-40,True
CPT – Unclassified (Review Needed),5,847.5747284203694,3.798899573788039e-182,5.983266828716162e-181,True
Cardiac – NT-proBNP,4,112.77572000446455,2.7727608861287448e-24,6.987357433044438e-24,True
Comprehensive Metabolic Panel (CMP),4,66.88800447407542,1.978890249632881e-14,2.8334110392470798e-14,True
Cytology – Fine Needle Aspiration (FNA) evaluation,5,129.81724618689202,4.2607436106206724e-27,1.2782230831862018e-26,True
DNA/NAAT – Unspecified Agent,4,1754.7871453270718,0.0,0.0,True
Drug Testing – Definitive (Mass Spec) 1–7 classes/day,2,45.467651756987216,1.5518067911901065e-11,1.9169378008818963e-11,True
Durable Medical Equipment (Other than Renal),2,2.591886198340816,0.10741235269299947,0.11469454609591469,False
EKG/ECG Electrocardiogram,3,32.78889482418259,7.585460568056942e-08,9.190077226684373e-08,True
Erythropoiesis-Stimulating Agents – Epoetin Alfa,4,72.32791109929371,1.3541643102061934e-15,1.9840081754183763e-15,True
Extra-Corporeal Shock Wave Therapy (formerly Lithotripsy),3,14.291079640703598,0.0007883725344624748,0.0008713591170374721,True
Ferritin,4,94.85269796820465,1.9859648838522152e-20,4.31433750629964e-20,True
Flow Cytometry (Tech/Professional),4,827.6605572087719,4.336941122856308e-179,5.464545814798948e-178,True
Folate,4,79.40507719485588,4.11756403285359e-17,6.82648773867832e-17,True
Free T3,4,53.753671572204055,1.2663324702568518e-11,1.5955789125236335e-11,True
G-CSF – Filgrastim (and biosimilars),4,58.61630344169856,1.1609376694326255e-12,1.523730691130321e-12,True
HCPCS – Miscellaneous / Supplies,5,204.69333521018336,3.678777277709729e-43,2.1069360772337542e-42,True
Hemoglobin A1c,4,123.11606468115076,1.64539122755228e-26,4.5069411885127674e-26,True
IHC – Estrogen Receptor (ER),5,232.8866945006503,3.155914693369657e-49,1.9882262568228838e-48,True
Immunocytochemistry – Multiplex,5,92.16093310321541,4.57455033920467e-19,8.73323246575437e-19,True
Immunofixation Electrophoresis,4,61.06967960442531,3.4728413203063284e-13,4.86197784842886e-13,True
Immunoglobulins (IgG/IgA/IgM each),4,558.6956520143013,9.059069693373812e-121,9.512023178042503e-120,True
Immunohistochemistry – Each Additional Antibody,5,96.80042190040703,4.718286028567531e-20,9.588774832250144e-20,True
Immunohistochemistry – First Antibody,4,146.786565991758,1.2999134151318487e-31,4.817326185488616e-31,True
In Situ Hybridization – Multiplex,4,90.98510748117694,1.3457274069555766e-19,2.649400832443792e-19,True
Influenza A/B PCR,3,53.126760753464325,2.9085094666817924e-12,3.739512171448019e-12,True
Iron – Serum Iron,4,171.4652049008402,6.1424686526343116e-37,2.7641108936854405e-36,True
Lipid Panel,4,97.47632088567924,5.420810851168823e-21,1.2196824415129852e-20,True
Magnesium,4,365.03658360048115,8.271916843958458e-79,7.4447251595626125e-78,True
Microbiology NA Probe (each),3,119.81455320848417,9.607277715191797e-27,2.751174982077651e-26,True
Molecular – Exome/Genome Sequencing,2,28.059634737234443,1.1763399976041585e-07,1.3723966638715182e-07,True
Molecular – Genetic Testing Panel,2,5.765358907663253,0.016345146127523903,0.017754210448862173,True
Multiplex NAAT – Multiple organisms,2,52.512094684131945,4.2760679155205893e-13,5.856353884299938e-13,True
PSA – Prostate Specific Antigen,4,177.93430812150467,2.463464661522675e-38,1.1938328744302197e-37,True
Pap/Non-Gyn Cytology Enhanced Techniques,5,150.49303457780886,1.5961465744775195e-31,5.586513010671319e-31,True
Parathyroid Hormone (PTH),4,139.57996618204757,4.6561367727069306e-30,1.466683083402683e-29,True
Rapid Influenza Antigen,3,83.99795011567736,5.755418213056803e-19,1.0575179256337474e-18,True
Respiratory Virus Panel (SARS-CoV-2/Flu/RSV),2,2.145420053718437,0.14299589347191258,0.15014568814550822,False
Serum Protein Electrophoresis (SPEP),4,149.73870246437133,3.000079956140977e-32,1.1812814827305098e-31,True
Special Stains – Group II,5,166.60991520716323,5.584312478697486e-35,2.3454112410529443e-34,True
Strep A DNA (NAAT),3,76.33593494319922,2.6537642646447545e-17,4.518571585746474e-17,True
Surgical Pathology Level IV,4,143.41181315253766,6.946247071271078e-31,2.303229292053042e-30,True
Testosterone – Total (Assay),4,304.2654573082664,1.187359409771051e-65,8.311515868397358e-65,True
Thyroid – Free T4,4,77.08989828834449,1.2915402814261697e-16,2.0863343007653509e-16,True
Thyroid – TSH,4,75.47004607714393,2.8731571260801117e-16,4.525222473576176e-16,True
Unlisted Molecular Pathology/Gene Analysis,4,35.57599404659586,9.20491270686125e-08,1.0941688689287902e-07,True
Urine Creatinine (random),4,328.9739929392047,5.32157410300438e-71,4.1907396061159496e-70,True
"Urine Culture, Quantitative",4,73.03763918264686,9.541577861022701e-16,1.4312366791534053e-15,True
Venipuncture – Blood Draw,4,73.39793984271842,7.987712361412e-16,1.227380192119405e-15,True
Vitamin B12,4,88.00494859663189,5.875099586854153e-19,1.0575179256337474e-18,True
Vitamin D 25-OH,4,94.3850652069782,2.5030269251629098e-20,5.2563565428421106e-20,True
