hospital_id,hospital_name,payer_name,plan_name,code,type,description,estimated_amount,bundle_label
1r6ycd9n,AdventHealth,AETNA,HMO/PPO,P9603,HCPCS,HC TRAVEL ALLOWANCE PRORATED MILETRAVELED,2.0,HCPCS – Miscellaneous / Supplies
1r6ycd9n,AdventHealth,CIGNA,HMO/PPO,P9603,HCPCS,HC TRAVEL ALLOWANCE PRORATED MILETRAVELED,2.0,HCPCS – Miscellaneous / Supplies
1r6ycd9n,AdventHealth,CRESCENT,PPO,P9603,HCPCS,HC TRAVEL ALLOWANCE PRORATED MILETRAVELED,2.0,HCPCS – Miscellaneous / Supplies
1r6ycd9n,AdventHealth,FIRST HEALTH NETWORK,PPO,P9603,HCPCS,HC TRAVEL ALLOWANCE PRORATED MILETRAVELED,2.0,HCPCS – Miscellaneous / Supplies
1r6ycd9n,AdventHealth,HUMANA,PPO,P9603,HCPCS,HC TRAVEL ALLOWANCE PRORATED MILETRAVELED,2.0,HCPCS – Miscellaneous / Supplies
1r6ycd9n,AdventHealth,MEDCOST,PPO,P9603,HCPCS,HC TRAVEL ALLOWANCE PRORATED MILETRAVELED,2.0,HCPCS – Miscellaneous / Supplies
1r6ycd9n,AdventHealth,MEDCOST,PPO,P9603,HCPCS,HC TRAVEL ALLOWANCE PRORATED MILETRAVELED,2.0,HCPCS – Miscellaneous / Supplies
1r6ycd9n,AdventHealth,MULTIPLAN,PPO,P9603,HCPCS,HC TRAVEL ALLOWANCE PRORATED MILETRAVELED,2.0,HCPCS – Miscellaneous / Supplies
1r6ycd9n,AdventHealth,PHCS,PPO,P9603,HCPCS,HC TRAVEL ALLOWANCE PRORATED MILETRAVELED,2.0,HCPCS – Miscellaneous / Supplies
1r6ycd9n,AdventHealth,QTC MEDICAL GROUP,PPO,P9603,HCPCS,HC TRAVEL ALLOWANCE PRORATED MILETRAVELED,2.0,HCPCS – Miscellaneous / Supplies
1r6ycd9n,AdventHealth,UNITEDHEALTHCARE,HMO/PPO,P9603,HCPCS,HC TRAVEL ALLOWANCE PRORATED MILETRAVELED,2.0,HCPCS – Miscellaneous / Supplies
1r6ycd9n,AdventHealth,AETNA,HMO/PPO,A0425,HCPCS,HC AMBULANCE GROUND MILEAGE A0425,29.0,Ambulance – Ground Mileage
1r6ycd9n,AdventHealth,CIGNA,HMO/PPO,A0425,HCPCS,HC AMBULANCE GROUND MILEAGE A0425,24.0,Ambulance – Ground Mileage
1r6ycd9n,AdventHealth,CRESCENT,PPO,A0425,HCPCS,HC AMBULANCE GROUND MILEAGE A0425,29.0,Ambulance – Ground Mileage
1r6ycd9n,AdventHealth,FIRST HEALTH NETWORK,PPO,A0425,HCPCS,HC AMBULANCE GROUND MILEAGE A0425,33.0,Ambulance – Ground Mileage
1r6ycd9n,AdventHealth,HUMANA,PPO,A0425,HCPCS,HC AMBULANCE GROUND MILEAGE A0425,32.0,Ambulance – Ground Mileage
1r6ycd9n,AdventHealth,MEDCOST,PPO,A0425,HCPCS,HC AMBULANCE GROUND MILEAGE A0425,22.0,Ambulance – Ground Mileage
1r6ycd9n,AdventHealth,MEDCOST,PPO,A0425,HCPCS,HC AMBULANCE GROUND MILEAGE A0425,25.0,Ambulance – Ground Mileage
1r6ycd9n,AdventHealth,MULTIPLAN,PPO,A0425,HCPCS,HC AMBULANCE GROUND MILEAGE A0425,33.0,Ambulance – Ground Mileage
1r6ycd9n,AdventHealth,PHCS,PPO,A0425,HCPCS,HC AMBULANCE GROUND MILEAGE A0425,33.0,Ambulance – Ground Mileage
1r6ycd9n,AdventHealth,QTC MEDICAL GROUP,PPO,A0425,HCPCS,HC AMBULANCE GROUND MILEAGE A0425,27.0,Ambulance – Ground Mileage
1r6ycd9n,AdventHealth,UNITEDHEALTHCARE,HMO/PPO,A0425,HCPCS,HC AMBULANCE GROUND MILEAGE A0425,26.0,Ambulance – Ground Mileage
1r6ycd9n,AdventHealth,AETNA,HMO/PPO,A0427,HCPCS,HC ALS1 EMERGENCY BASE RATE A0427,1931.0,Ambulance – ALS1 Emergency Base Rate
1r6ycd9n,AdventHealth,CIGNA,HMO/PPO,A0427,HCPCS,HC ALS1 EMERGENCY BASE RATE A0427,1625.0,Ambulance – ALS1 Emergency Base Rate
1r6ycd9n,AdventHealth,CRESCENT,PPO,A0427,HCPCS,HC ALS1 EMERGENCY BASE RATE A0427,1957.0,Ambulance – ALS1 Emergency Base Rate
1r6ycd9n,AdventHealth,FIRST HEALTH NETWORK,PPO,A0427,HCPCS,HC ALS1 EMERGENCY BASE RATE A0427,2228.0,Ambulance – ALS1 Emergency Base Rate
1r6ycd9n,AdventHealth,HUMANA,PPO,A0427,HCPCS,HC ALS1 EMERGENCY BASE RATE A0427,2105.0,Ambulance – ALS1 Emergency Base Rate
1r6ycd9n,AdventHealth,MEDCOST,PPO,A0427,HCPCS,HC ALS1 EMERGENCY BASE RATE A0427,1486.0,Ambulance – ALS1 Emergency Base Rate
1r6ycd9n,AdventHealth,MEDCOST,PPO,A0427,HCPCS,HC ALS1 EMERGENCY BASE RATE A0427,1677.0,Ambulance – ALS1 Emergency Base Rate
1r6ycd9n,AdventHealth,MULTIPLAN,PPO,A0427,HCPCS,HC ALS1 EMERGENCY BASE RATE A0427,2228.0,Ambulance – ALS1 Emergency Base Rate
1r6ycd9n,AdventHealth,PHCS,PPO,A0427,HCPCS,HC ALS1 EMERGENCY BASE RATE A0427,2228.0,Ambulance – ALS1 Emergency Base Rate
1r6ycd9n,AdventHealth,QTC MEDICAL GROUP,PPO,A0427,HCPCS,HC ALS1 EMERGENCY BASE RATE A0427,1810.0,Ambulance – ALS1 Emergency Base Rate
1r6ycd9n,AdventHealth,UNITEDHEALTHCARE,HMO/PPO,A0427,HCPCS,HC ALS1 EMERGENCY BASE RATE A0427,1756.0,Ambulance – ALS1 Emergency Base Rate
1r6ycd9n,AdventHealth,AETNA,HMO/PPO,A0428,HCPCS,HC BLS NON EMERGENCY A0428,868.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,CIGNA,HMO/PPO,A0428,HCPCS,HC BLS NON EMERGENCY A0428,730.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,CRESCENT,PPO,A0428,HCPCS,HC BLS NON EMERGENCY A0428,879.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,FIRST HEALTH NETWORK,PPO,A0428,HCPCS,HC BLS NON EMERGENCY A0428,1002.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,HUMANA,PPO,A0428,HCPCS,HC BLS NON EMERGENCY A0428,946.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,MEDCOST,PPO,A0428,HCPCS,HC BLS NON EMERGENCY A0428,668.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,MEDCOST,PPO,A0428,HCPCS,HC BLS NON EMERGENCY A0428,753.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,MULTIPLAN,PPO,A0428,HCPCS,HC BLS NON EMERGENCY A0428,1002.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,PHCS,PPO,A0428,HCPCS,HC BLS NON EMERGENCY A0428,1002.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,QTC MEDICAL GROUP,PPO,A0428,HCPCS,HC BLS NON EMERGENCY A0428,814.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,UNITEDHEALTHCARE,HMO/PPO,A0428,HCPCS,HC BLS NON EMERGENCY A0428,788.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,AETNA,HMO/PPO,A0429,HCPCS,HC BLS EMERGENCY BASE RATE A0429,1223.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,CIGNA,HMO/PPO,A0429,HCPCS,HC BLS EMERGENCY BASE RATE A0429,1029.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,CRESCENT,PPO,A0429,HCPCS,HC BLS EMERGENCY BASE RATE A0429,1239.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,FIRST HEALTH NETWORK,PPO,A0429,HCPCS,HC BLS EMERGENCY BASE RATE A0429,1412.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,HUMANA,PPO,A0429,HCPCS,HC BLS EMERGENCY BASE RATE A0429,1333.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,MEDCOST,PPO,A0429,HCPCS,HC BLS EMERGENCY BASE RATE A0429,941.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,MEDCOST,PPO,A0429,HCPCS,HC BLS EMERGENCY BASE RATE A0429,1062.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,MULTIPLAN,PPO,A0429,HCPCS,HC BLS EMERGENCY BASE RATE A0429,1412.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,PHCS,PPO,A0429,HCPCS,HC BLS EMERGENCY BASE RATE A0429,1412.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,QTC MEDICAL GROUP,PPO,A0429,HCPCS,HC BLS EMERGENCY BASE RATE A0429,1147.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,UNITEDHEALTHCARE,HMO/PPO,A0429,HCPCS,HC BLS EMERGENCY BASE RATE A0429,1112.0,Ambulance – BLS Emergency Base Rate
1r6ycd9n,AdventHealth,AETNA,HMO/PPO,A0436,HCPCS,HC ROTOR MILEAGE A0436,164.0,Ambulance – Air (Rotor) Mileage
1r6ycd9n,AdventHealth,CIGNA,HMO/PPO,A0436,HCPCS,HC ROTOR MILEAGE A0436,138.0,Ambulance – Air (Rotor) Mileage
1r6ycd9n,AdventHealth,CRESCENT,PPO,A0436,HCPCS,HC ROTOR MILEAGE A0436,167.0,Ambulance – Air (Rotor) Mileage
1r6ycd9n,AdventHealth,FIRST HEALTH NETWORK,PPO,A0436,HCPCS,HC ROTOR MILEAGE A0436,190.0,Ambulance – Air (Rotor) Mileage
1r6ycd9n,AdventHealth,HUMANA,PPO,A0436,HCPCS,HC ROTOR MILEAGE A0436,179.0,Ambulance – Air (Rotor) Mileage
1r6ycd9n,AdventHealth,MEDCOST,PPO,A0436,HCPCS,HC ROTOR MILEAGE A0436,126.0,Ambulance – Air (Rotor) Mileage
1r6ycd9n,AdventHealth,MEDCOST,PPO,A0436,HCPCS,HC ROTOR MILEAGE A0436,142.0,Ambulance – Air (Rotor) Mileage
1r6ycd9n,AdventHealth,MULTIPLAN,PPO,A0436,HCPCS,HC ROTOR MILEAGE A0436,190.0,Ambulance – Air (Rotor) Mileage
1r6ycd9n,AdventHealth,PHCS,PPO,A0436,HCPCS,HC ROTOR MILEAGE A0436,190.0,Ambulance – Air (Rotor) Mileage
1r6ycd9n,AdventHealth,QTC MEDICAL GROUP,PPO,A0436,HCPCS,HC ROTOR MILEAGE A0436,154.0,Ambulance – Air (Rotor) Mileage
1r6ycd9n,AdventHealth,UNITEDHEALTHCARE,HMO/PPO,A0436,HCPCS,HC ROTOR MILEAGE A0436,149.0,Ambulance – Air (Rotor) Mileage
1r6ycd9n,AdventHealth,AETNA,HMO/PPO,J0129,HCPCS,HC ABATACEPT INJECTION,92.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,CIGNA,HMO/PPO,J0129,HCPCS,HC ABATACEPT INJECTION,77.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,CRESCENT,PPO,J0129,HCPCS,HC ABATACEPT INJECTION,93.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,FIRST HEALTH NETWORK,PPO,J0129,HCPCS,HC ABATACEPT INJECTION,105.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,HUMANA,PPO,J0129,HCPCS,HC ABATACEPT INJECTION,100.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,MEDCOST,PPO,J0129,HCPCS,HC ABATACEPT INJECTION,70.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,MEDCOST,PPO,J0129,HCPCS,HC ABATACEPT INJECTION,79.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,MULTIPLAN,PPO,J0129,HCPCS,HC ABATACEPT INJECTION,105.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,PHCS,PPO,J0129,HCPCS,HC ABATACEPT INJECTION,105.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,QTC MEDICAL GROUP,PPO,J0129,HCPCS,HC ABATACEPT INJECTION,86.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,UNITEDHEALTHCARE,HMO/PPO,J0129,HCPCS,HC ABATACEPT INJECTION,84.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,AETNA,HMO/PPO,J0178,HCPCS,HC AFLIBERCEPT INJECTION,1892.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,CIGNA,HMO/PPO,J0178,HCPCS,HC AFLIBERCEPT INJECTION,1591.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,CRESCENT,PPO,J0178,HCPCS,HC AFLIBERCEPT INJECTION,1916.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,FIRST HEALTH NETWORK,PPO,J0178,HCPCS,HC AFLIBERCEPT INJECTION,2183.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,HUMANA,PPO,J0178,HCPCS,HC AFLIBERCEPT INJECTION,2062.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,MEDCOST,PPO,J0178,HCPCS,HC AFLIBERCEPT INJECTION,1455.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,MEDCOST,PPO,J0178,HCPCS,HC AFLIBERCEPT INJECTION,1643.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,MULTIPLAN,PPO,J0178,HCPCS,HC AFLIBERCEPT INJECTION,2183.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,PHCS,PPO,J0178,HCPCS,HC AFLIBERCEPT INJECTION,2183.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,QTC MEDICAL GROUP,PPO,J0178,HCPCS,HC AFLIBERCEPT INJECTION,1773.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,UNITEDHEALTHCARE,HMO/PPO,J0178,HCPCS,HC AFLIBERCEPT INJECTION,1720.0,Any J-code Injectable (catch-all)
1r6ycd9n,AdventHealth,AETNA,HMO/PPO,J0256,HCPCS,HC ALPHA 1 PROTEINASE INHIBITOR,10.0,Alpha-1 Proteinase Inhibitor
