bundle_label,type,hospital_id,mean,median,sd,q1,q3,count,min,max,iqr,cv
Acquisition of Body Components,RC,29a8pin7,63313.43323529412,45716.11,23489.149688204485,44386.75,86516.97,34,43892.55,100192.03,42130.22,0.3709978828807287
Acquisition of Body Components,RC,cwmo7l4t,63237.70492391304,66634.0,24167.150534403492,43295.4425,77295.2825,92,24921.116,126713.575,33999.840000000004,0.38216362474699483
Alpha-1 Proteinase Inhibitor,HCPCS,1r6ycd9n,7.24,5.0,2.5703436864875995,5.0,10.0,25,5.0,11.0,5.0,0.35501984619994464
Alpha-1 Proteinase Inhibitor,HCPCS,29a8pin7,13.974285714285715,8.29,11.253217623342529,4.93,20.55,28,4.69,46.4,15.620000000000001,0.8052803451584307
Ambulance – ALS1 Emergency Base Rate,HCPCS,1r6ycd9n,1475.162972972973,1677.0,690.7305415599442,834.0,2042.0,37,0.01,2228.0,1208.0,0.46824015665732094
Ambulance – ALS1 Emergency Base Rate,HCPCS,29a8pin7,1189.9389655172415,544.86,1076.9222233666806,505.55,2883.03,29,125.93,2969.52,2377.48,0.9050230764554928
Ambulance – ALS1 Emergency Base Rate,HCPCS,cwmo7l4t,2028.1862101449274,1682.8,998.8955231140278,1175.71,2963.86,138,664.224,4955.875,1788.15,0.49250681131623025
Ambulance – Air (Rotor) Mileage,HCPCS,1r6ycd9n,458.0278378378378,179.0,548.9820248936264,149.0,1045.0,37,0.01,2608.0,896.0,1.198577858247975
Ambulance – Air (Rotor) Mileage,HCPCS,29a8pin7,70.29586206896552,64.07,38.34035203111381,29.39,119.0,145,11.48,119.0,89.61,0.5454140670968519
Ambulance – Air (Rotor) Mileage,HCPCS,cwmo7l4t,54.842771739130434,28.95,53.54603840516591,10.0,100.0,184,3.74,205.0,90.0,0.976355437684064
Ambulance – BLS Emergency Base Rate,HCPCS,1r6ycd9n,945.9062162162162,916.5,393.2806316130064,855.0,1099.5,74,0.01,2232.0,244.5,0.4157712729557852
Ambulance – BLS Emergency Base Rate,HCPCS,29a8pin7,1064.2206896551725,425.73,1144.189284584247,277.895,2883.03,58,71.46,2969.52,2605.135,1.0751428681159974
Ambulance – BLS Emergency Base Rate,HCPCS,cwmo7l4t,838.2619347826087,803.885,189.95239014429114,772.99,834.78,46,471.614,1292.525,61.789999999999964,0.2266026670930162
Ambulance – BLS Non-Emergency,HCPCS,29a8pin7,1281.221724137931,1072.68,1111.6750767200335,268.91,2883.03,29,71.46,2969.52,2614.1200000000003,0.867667988901783
Ambulance – BLS Non-Emergency,HCPCS,cwmo7l4t,523.8311304347826,502.35,118.70213065252565,483.04,521.66,46,294.712,807.7,38.61999999999995,0.2266038113351573
Ambulance – Ground Mileage,HCPCS,1r6ycd9n,254.70351351351354,32.0,393.39485563500966,26.0,695.0,37,0.01,1734.0,669.0,1.5445207261113723
Ambulance – Ground Mileage,HCPCS,29a8pin7,19.36413793103448,17.23,10.013618055015089,9.39,32.0,29,3.06,32.0,22.61,0.5171218099498497
Ambulance – Ground Mileage,HCPCS,cwmo7l4t,5.7791433229813665,4.05,5.544594888511198,0.75,11.7,322,0.28,20.75625,10.95,0.9594146707631455
Antibiotic Susceptibility MIC,CPT,1r6ycd9n,738.7939594594595,158.5,2195.440409256284,96.0,255.0,1480,0.01,18713.0,159.0,2.9716545203788396
Antibiotic Susceptibility MIC,CPT,29a8pin7,83.04222596964587,15.93,180.78248188880062,8.82,50.29,593,3.07,1198.58,41.47,2.1769946527551105
Antibiotic Susceptibility MIC,CPT,59ew6vnb,57.69426,15.77,118.18749912046155,9.08,44.73,500,3.07,826.09,35.65,2.048513996374363
Antibiotic Susceptibility MIC,CPT,cwmo7l4t,279.58170624999997,185.0,260.57954484543166,76.5,391.09,320,0.01,1064.975,314.59,0.9320336024146848
Antibiotic Susceptibility MIC,HCPCS,5rjtdp74,148.63137931034484,61.21,278.6252160766212,47.49,146.7,29,28.18,1533.2,99.20999999999998,1.87460560057676
Antibiotic Susceptibility MIC,HCPCS,cwmo7l4t,596.4803105590062,300.7,639.5853616794168,193.1,493.93,161,0.01,2316.5,300.83000000000004,1.0722656730781501
Any J-code Injectable (catch-all),HCPCS,1r6ycd9n,1226.320677808728,26.0,11779.297886726483,0.01,119.5,11847,0.01,258608.0,119.49,9.605397755972378
Any J-code Injectable (catch-all),HCPCS,29a8pin7,1860.679566708792,207.25,3741.0050908504286,26.18,2001.69,5539,0.02,44156.04,1975.51,2.010558485074136
Any J-code Injectable (catch-all),HCPCS,59ew6vnb,1790.6729048463358,128.04500000000002,3949.512174699832,17.09,1557.14,3384,0.02,48930.74,1540.0500000000002,2.2056022426042987
Any J-code Injectable (catch-all),HCPCS,cwmo7l4t,4550.724211583746,433.8,10622.896391950764,19.07,3902.8,13929,0.00374,128615.032,3883.73,2.334330954380946
Basic Metabolic Panel (BMP),CPT,1r6ycd9n,463.96153846153845,231.0,441.86753497121566,177.0,780.0,26,7.0,1949.0,603.0,0.9523796658585433
Basic Metabolic Panel (BMP),CPT,29a8pin7,25.186551724137935,14.62,40.801628230453716,8.63,16.0,29,8.21,180.43,7.369999999999999,1.6199767509798024
Basic Metabolic Panel (BMP),CPT,59ew6vnb,36.1612,14.62,50.54902556924317,8.88,15.42,25,8.21,158.48,6.539999999999999,1.3978802022400576
Basic Metabolic Panel (BMP),CPT,cwmo7l4t,140.877306122449,179.0,94.92970465345313,22.23,179.0,49,22.23,299.3,156.77,0.6738466774126223
Body scan,RC,29a8pin7,277.59294117647056,181.32,121.78537253855528,176.05,392.94,68,176.05,555.0,216.89,0.4387192701025284
Body scan,RC,59ew6vnb,167.03,137.98,125.48317931765463,58.76,163.74,25,54.29,421.4,104.98000000000002,0.7512613262147796
Body scan,RC,cwmo7l4t,1014.6935208333334,959.96,263.87072435497004,959.96,1036.69,48,367.565,1605.15,76.73000000000002,0.2600496789791877
CBC with Differential,CPT,1r6ycd9n,230.56756756756758,137.0,258.89589719728195,51.0,499.0,37,7.0,1246.0,448.0,1.1228634622317937
CBC with Differential,CPT,29a8pin7,17.067413793103448,11.870000000000001,20.066745342301747,7.5975,14.6,58,6.28,103.82,7.0024999999999995,1.1757343898470582
CBC with Differential,CPT,59ew6vnb,22.1232,12.16,24.455523431031168,7.9875,14.6,50,6.28,91.19,6.6125,1.1054243251894467
CBC with Differential,CPT,cwmo7l4t,60.719562499999995,66.82,35.61664049017788,20.48,81.53,96,16.91,136.325,61.05,0.5865760394794985
CBC without Differential,CPT,1r6ycd9n,125.81818181818181,127.0,17.690778285978162,112.5,143.0,11,97.0,147.0,30.5,0.14060589678161833
COVID-19 PCR (NAAT),CPT,1r6ycd9n,750.6929824561404,330.0,1044.6459130035605,251.0,561.0,456,21.0,9668.0,310.0,1.3915754341883626
COVID-19 PCR (NAAT),CPT,29a8pin7,142.04114942528736,145.48,69.24257495959804,75.11,208.78,87,21.49,275.0,133.67000000000002,0.48748250235766466
COVID-19 PCR (NAAT),CPT,59ew6vnb,137.7144,149.76,64.03952764229798,75.11,208.78,75,28.89,275.0,133.67000000000002,0.46501693099848657
COVID-19 PCR (NAAT),CPT,cwmo7l4t,103.93054166666667,101.95,24.10158251267432,94.4,101.95,48,57.596,157.85,7.549999999999997,0.23190086500246104
CPT – Unclassified (Review Needed),CPT,1r6ycd9n,120.90324449594438,91.0,185.50969948754684,16.0,132.0,1726,16.0,3061.0,116.0,1.5343649400059702
CPT – Unclassified (Review Needed),CPT,29a8pin7,78.07004926108374,32.7,112.804995975509,18.29,125.65,406,4.3,624.0,107.36000000000001,1.4449202612677214
CPT – Unclassified (Review Needed),CPT,59ew6vnb,65.87673846153845,32.7,102.80921158563758,18.83,33.68,325,5.78,624.0,14.850000000000001,1.560629958109748
CPT – Unclassified (Review Needed),CPT,cwmo7l4t,3869.993605820106,919.5,4864.4958716773535,368.76,8505.74,378,0.01,19770.2,8136.98,1.2569777542685368
CPT – Unclassified (Review Needed),HCPCS,5rjtdp74,373.52620689655174,156.14,741.219662384675,146.77,326.98,145,44.81,4186.38,180.21,1.9843846260296165
Candida DNA (PCR),CPT,1r6ycd9n,507.1803278688525,257.0,536.999651568094,185.0,1043.0,244,32.0,2606.0,858.0,1.0587943223755165
Cardiac – Insertable Loop Recorder (ILR) insertion,CPT,1r6ycd9n,10583.962692307694,9598.5,5689.488532105893,7286.0,15348.25,26,0.01,18191.0,8062.25,0.5375575006741993
Cardiac – NT-proBNP,CPT,1r6ycd9n,224.18085106382978,268.0,140.6023113321971,122.0,298.0,94,35.0,735.0,176.0,0.6271825210091837
Cardiac – NT-proBNP,CPT,29a8pin7,53.818275862068965,59.17,16.579849441460933,40.05,63.78,58,16.55,91.0,23.730000000000004,0.3080709884492302
