payer_plan,avg_price,min_price,max_price,n_codes
ABSOLUTE TOTAL CARE | EXCHANGE,179.34333333333333,47.51,810.51,69
ABSOLUTE TOTAL CARE | MEDICAID MANAGED CARE,129.92782608695651,28.18,345.24,69
AETNA | COMMERCIAL,1793.1843759253247,0.00374,48936.45,1232
AETNA | COMMERCIAL CHOICE,2863.5914736842105,0.01,72526.33,570
AETNA | HMO,2863.5914736842105,0.01,72526.33,570
AETNA | HMO/PPO,1119.3756566820277,0.01,224127.0,1736
AETNA | MEDICAID MANAGED CARE,18.85408564814815,0.01,3213.0,864
AETNA | MEDICARE,258.310474537037,0.01,7286.0,864
AETNA | MEDICARE ADVANTAGE,662.8304444444445,0.01,18436.81,810
AETNA | POS,2273.0635370370373,0.01,99352.43,540
AETNA | PPO,3163.9642159349596,0.0068,85325.0944,615
ALIGNMENT HEALTH | HMO,698.8323832923834,0.33,18075.3,407
ALIGNMENT HEALTH | MEDICARE,263.53038194444446,0.01,7431.0,864
ALIGNMENT HEALTH | MEDICARE ADVANTAGE,2536.44258866171,0.01025,128615.032,1345
APEXHEALTH MEDICARE ADVANTAGE | MEDICARE ADVANTAGE HMO,266.06278935185185,0.01,7503.0,864
BCBS NC | HMO/PPO,1353.9407216494844,1.0,206886.0,776
BCBS NC | MEDICARE,258.310474537037,0.01,7286.0,864
BCBS | COMMERCIAL,1037.3200499687694,0.01,75339.93,1601
BCBS | EMPLOYEE PLAN,243.1782608695652,50.0,892.16,69
BCBS | EXCHANGE,165.86982558139536,33.6,908.05,172
BCBS | HMO,349.18938461538465,99.66,804.48,65
BCBS | MEDICAID MANAGED CARE,162.20292307692307,57.75,327.7,65
BCBS | MEDICARE ADVANTAGE,603.6598391089109,0.01,17533.04,808
BCBS | PPO,1294.8528588516747,0.01,97911.12,836
CIGNA | COMMERCIAL,2080.96918757877,0.00417,81838.43,5332
CIGNA | COMMERCIAL CHOICE,1756.6239765319428,0.01,99072.56,767
CIGNA | EXCHANGE,336.9730769230769,117.15,506.58,65
CIGNA | HMO,2177.813645087108,0.00692,81838.43,1148
CIGNA | HMO/PPO,941.3941071428571,0.01,188496.0,1736
CIGNA | MEDICARE ADVANTAGE,2443.1499739316237,0.0102,127987.6416,1404
CIGNA | POS,2177.813645087108,0.00692,81838.43,1148
CIGNA | PPO,2177.813645087108,0.00692,81838.43,2296
CLOVER HEALTH | MEDICARE ADVANTAGE,234.58184615384616,47.89,790.76,65
CRESCENT | PPO,1133.759297235023,0.01,227000.0,1736
DUKE PLUS | COMMERCIAL,4652.890520325203,0.01,125478.08,615
FIRST HEALTH NETWORK | HMO,2863.591388842105,0.00578,72526.33,570
FIRST HEALTH NETWORK | PPO,1291.5513479262675,0.01,258608.0,1736
FIRST MEDICARE DIRECT | MEDICARE ADVANTAGE,674.82250338295,0.01,18979.07,739
GOLDEN RULE INSURANCE | COMMERCIAL,2786.5202617801046,0.01,76918.06,573
HEALTH TEAM ADVANTAGE | MEDICARE ADVANTAGE,655.4997123287671,0.33,18075.3,730
HUMANA | COMMERCIAL CHOICE,1797.627622739018,0.01,86758.46,774
HUMANA | HMO,635.2720189274447,0.35,18979.07,317
HUMANA | MEDICARE ADVANTAGE,401.389534368071,0.01,18979.07,1353
HUMANA | MEDICARE ADVANTAGE HMO,261.0095486111111,0.01,7358.0,864
HUMANA | PPO,2117.8663589961716,0.01,244240.0,2351
LONGEVITY HEALTH PLAN | MEDICARE,266.06278935185185,0.01,7503.0,864
MAIL HANDLERS BENEFIT PLAN | GOVERNMENT,2863.5914736842105,0.01,72526.33,570
MEDCOST | COMMERCIAL,335.73276923076924,49.5,608.98,65
MEDCOST | PPO,1112.837661328309,0.01,194531.0,4246
MEDICAID / MANAGED MEDICAID | COMMERCIAL,831.1893294648613,0.63,44386.75,3102
MEDICAID / MANAGED MEDICAID | MEDICAID MANAGED CARE,840.1774451612904,3.06,45716.11,3875
MOLINA HEALTHCARE | DUAL-ELIGIBLE MANAGED CARE,154.1703076923077,48.89,313.24,65
MOLINA HEALTHCARE | EXCHANGE,166.31230769230768,52.26,346.69,65
MOLINA HEALTHCARE | MEDICAID MANAGED CARE,142.71260869565216,34.38,236.62,69
MOLINA HEALTHCARE | MEDICARE ADVANTAGE,233.0289230769231,47.68,373.8,65
MULTIPLAN | PPO,1291.5513479262675,0.01,258608.0,1736
OPTUM HEALTH CARE SOLUTIONS | MEDICARE ADVANTAGE,219.6906153846154,46.56,706.08,65
OSCAR HEALTH | MEDICARE ADVANTAGE HMO,645.2884837962963,0.01,18191.0,864
OXFORD HEALTH PLANS | COMMERCIAL,2786.5202617801046,0.01,76918.06,573
PHCS | PPO,1291.5513479262675,0.01,258608.0,1736
QTC MEDICAL GROUP | PPO,1198.6896140552994,0.01,258608.0,1736
SUNSHINE STATE HEALTH PLAN | MEDICAID,26.367549271636676,0.01,3245.0,1167
TRICARE | COMMERCIAL,683.1593398533007,0.32,17533.04,409
TRICARE | HMO,683.1593398533007,0.32,17533.04,409
TROY MEDICARE | MEDICARE ADVANTAGE,4652.890520325203,0.01,125478.08,615
TROY MEDICARE | MEDICARE ADVANTAGE HMO,266.06278935185185,0.01,7503.0,864
UNITEDHEALTHCARE | COMMERCIAL,2764.645858443189,0.01,76918.06,6372
UNITEDHEALTHCARE | COMMERCIAL CHOICE,2786.520261780105,0.01,76918.06,1146
UNITEDHEALTHCARE | EXCHANGE,1401.0305138339922,0.01,71785.63,506
UNITEDHEALTHCARE | HMO,843.855953002611,0.01,52539.84,383
UNITEDHEALTHCARE | HMO/PPO,1017.5024020737327,0.01,203725.0,1736
UNITEDHEALTHCARE | MEDICAID,27.114617706237425,0.01,3342.0,994
UNITEDHEALTHCARE | MEDICARE ADVANTAGE,650.2709305210918,0.01,19069.44,806
UNITEDHEALTHCARE | MEDICARE ADVANTAGE HMO,258.310474537037,0.01,7286.0,864
UNITEDHEALTHCARE | POS,2786.5202617801046,0.01,76918.06,573
UNITEDHEALTHCARE | PPO,2254.4228045691907,0.00815,60316.36515,383
VA MEDICAID | MEDICAID,4645.365373376623,0.01,125478.08,616
WELLCARE | MEDICARE ADVANTAGE,638.6775409836065,0.34,18979.07,793
WELLCARE | MEDICARE ADVANTAGE HMO,258.310474537037,0.01,7286.0,864
