payer_plan,avg_price,n_codes
ABSOLUTE TOTAL CARE | EXCHANGE,179.34333333333333,69
ABSOLUTE TOTAL CARE | MEDICAID MANAGED CARE,129.92782608695651,69
AETNA | COMMERCIAL,1793.1843759253247,1232
AETNA | COMMERCIAL CHOICE,2863.5914736842105,570
AETNA | HMO,2863.5914736842105,570
AETNA | HMO/PPO,1119.3756566820277,1736
AETNA | MEDICAID MANAGED CARE,18.85408564814815,864
AETNA | MEDICARE,258.310474537037,864
AETNA | MEDICARE ADVANTAGE,662.8304444444445,810
AETNA | POS,2273.0635370370373,540
AETNA | PPO,3163.9642159349596,615
ALIGNMENT HEALTH | HMO,698.8323832923834,407
ALIGNMENT HEALTH | MEDICARE,263.53038194444446,864
ALIGNMENT HEALTH | MEDICARE ADVANTAGE,2536.44258866171,1345
APEXHEALTH MEDICARE ADVANTAGE | MEDICARE ADVANTAGE HMO,266.06278935185185,864
BCBS NC | HMO/PPO,1353.9407216494844,776
BCBS NC | MEDICARE,258.310474537037,864
BCBS | COMMERCIAL,1037.3200499687694,1601
BCBS | EMPLOYEE PLAN,243.1782608695652,69
BCBS | EXCHANGE,165.86982558139536,172
BCBS | HMO,349.18938461538465,65
BCBS | MEDICAID MANAGED CARE,162.20292307692307,65
BCBS | MEDICARE ADVANTAGE,603.6598391089109,808
BCBS | PPO,1294.8528588516747,836
CIGNA | COMMERCIAL,2080.96918757877,5332
CIGNA | COMMERCIAL CHOICE,1756.6239765319428,767
CIGNA | EXCHANGE,336.9730769230769,65
CIGNA | HMO,2177.813645087108,1148
CIGNA | HMO/PPO,941.3941071428571,1736
CIGNA | MEDICARE ADVANTAGE,2443.1499739316237,1404
CIGNA | POS,2177.813645087108,1148
CIGNA | PPO,2177.813645087108,2296
CLOVER HEALTH | MEDICARE ADVANTAGE,234.58184615384616,65
CRESCENT | PPO,1133.759297235023,1736
DUKE PLUS | COMMERCIAL,4652.890520325203,615
FIRST HEALTH NETWORK | HMO,2863.591388842105,570
FIRST HEALTH NETWORK | PPO,1291.5513479262675,1736
FIRST MEDICARE DIRECT | MEDICARE ADVANTAGE,674.82250338295,739
GOLDEN RULE INSURANCE | COMMERCIAL,2786.5202617801046,573
HEALTH TEAM ADVANTAGE | MEDICARE ADVANTAGE,655.4997123287671,730
HUMANA | COMMERCIAL CHOICE,1797.627622739018,774
HUMANA | HMO,635.2720189274447,317
HUMANA | MEDICARE ADVANTAGE,401.389534368071,1353
HUMANA | MEDICARE ADVANTAGE HMO,261.0095486111111,864
HUMANA | PPO,2117.8663589961716,2351
LONGEVITY HEALTH PLAN | MEDICARE,266.06278935185185,864
MAIL HANDLERS BENEFIT PLAN | GOVERNMENT,2863.5914736842105,570
MEDCOST | COMMERCIAL,335.73276923076924,65
MEDCOST | PPO,1112.837661328309,4246
MEDICAID / MANAGED MEDICAID | COMMERCIAL,831.1893294648613,3102
MEDICAID / MANAGED MEDICAID | MEDICAID MANAGED CARE,840.1774451612904,3875
MOLINA HEALTHCARE | DUAL-ELIGIBLE MANAGED CARE,154.1703076923077,65
MOLINA HEALTHCARE | EXCHANGE,166.31230769230768,65
MOLINA HEALTHCARE | MEDICAID MANAGED CARE,142.71260869565216,69
MOLINA HEALTHCARE | MEDICARE ADVANTAGE,233.0289230769231,65
MULTIPLAN | PPO,1291.5513479262675,1736
OPTUM HEALTH CARE SOLUTIONS | MEDICARE ADVANTAGE,219.6906153846154,65
OSCAR HEALTH | MEDICARE ADVANTAGE HMO,645.2884837962963,864
OXFORD HEALTH PLANS | COMMERCIAL,2786.5202617801046,573
PHCS | PPO,1291.5513479262675,1736
QTC MEDICAL GROUP | PPO,1198.6896140552994,1736
SUNSHINE STATE HEALTH PLAN | MEDICAID,26.367549271636676,1167
TRICARE | COMMERCIAL,683.1593398533007,409
TRICARE | HMO,683.1593398533007,409
TROY MEDICARE | MEDICARE ADVANTAGE,4652.890520325203,615
TROY MEDICARE | MEDICARE ADVANTAGE HMO,266.06278935185185,864
UNITEDHEALTHCARE | COMMERCIAL,2764.645858443189,6372
UNITEDHEALTHCARE | COMMERCIAL CHOICE,2786.520261780105,1146
UNITEDHEALTHCARE | EXCHANGE,1401.0305138339922,506
UNITEDHEALTHCARE | HMO,843.855953002611,383
UNITEDHEALTHCARE | HMO/PPO,1017.5024020737327,1736
UNITEDHEALTHCARE | MEDICAID,27.114617706237425,994
UNITEDHEALTHCARE | MEDICARE ADVANTAGE,650.2709305210918,806
UNITEDHEALTHCARE | MEDICARE ADVANTAGE HMO,258.310474537037,864
UNITEDHEALTHCARE | POS,2786.5202617801046,573
UNITEDHEALTHCARE | PPO,2254.4228045691907,383
VA MEDICAID | MEDICAID,4645.365373376623,616
WELLCARE | MEDICARE ADVANTAGE,638.6775409836065,793
WELLCARE | MEDICARE ADVANTAGE HMO,258.310474537037,864
