Rank by Services,HCPCS Code,Allowed Services,Allowed Charges,
1 ,J7677,"959,141,551 ","177,912,265 ",
2 ,A4353,"157,074,436 ","1,486,442,996 ",
3 ,J7613,"112,285,746 ","5,606,371 ",
4 ,B4152,"106,881,820 ","43,792,212 ",
5 ,A0425,"98,929,520 ","952,100,037 ",
6 ,Q9967,"98,735,413 ","13,064,937 ",
7 ,J1010,"81,053,612 ","10,563,810 ",
8 ,J0717,"76,984,297 ","356,109,969 ",
9 ,J7507,"74,473,731 ","18,552,774 ",
10 ,J2403,"73,666,850 ","47,835,018 ",
11 ,J7503,"70,494,500 ","123,026,906 ",
12 ,A4351,"69,411,248 ","161,621,684 ",
13 ,J0585,"57,247,487 ","361,821,703 ",
14 ,J3262,"56,593,081 ","339,124,150 ",
15 ,J7512,"56,432,693 ","367,156 ",
16 ,J7620,"55,453,406 ","10,319,251 ",
17 ,J0897,"55,351,596 ","1,430,283,829 ",
18 ,A9575,"54,994,610 ","6,711,486 ",
19 ,J1071,"54,293,348 ","1,299,455 ",
20 ,J2777,"54,026,492 ","1,893,367,001 ",
21 ,J7517,"51,757,607 ","9,363,278 ",
22 ,P9603,"49,490,079 ","54,374,169 ",
23 ,J1439,"48,984,066 ","54,687,421 ",
24 ,B4150,"42,315,713 ","20,706,785 ",
25 ,J0174,"41,730,182 ","55,377,162 ",
26 ,J3111,"39,902,150 ","434,783,285 ",
27 ,J7518,"38,531,943 ","18,331,633 ",
28 ,J9271,"38,019,250 ","2,145,612,972 ",
29 ,A6197,"37,964,628 ","829,426,712 ",
30 ,J0878,"36,227,271 ","1,949,257 ",
31 ,Q0138,"33,851,631 ","12,048,579 ",
32 ,J7192,"30,440,631 ","55,632,384 ",
33 ,J7626,"30,204,967 ","34,937,563 ",
34 ,A4352,"30,085,524 ","247,913,886 ",
35 ,B4154,"28,348,292 ","24,019,636 ",
36 ,J0881,"26,983,495 ","80,281,422 ",
37 ,G2211,"24,965,428 ","399,699,074 ",
38 ,J1559,"24,681,726 ","322,484,105 ",
39 ,J1602,"23,988,968 ","279,082,439 ",
40 ,J9299,"23,669,701 ","736,625,511 ",
41 ,J7189,"23,647,932 ","66,421,167 ",
42 ,A7038,"23,206,411 ","66,897,772 ",
43 ,A9585,"21,567,728 ","6,870,339 ",
44 ,J9263,"20,403,845 ","1,453,721 ",
45 ,J3380,"19,488,792 ","431,239,711 ",
